actual\predicted,pdf,html,jpg,doc,txt,xls,ppt,xml,gif,ps,other
pdf,2466,0,692,11,0,3,822,3,200,53,22
html,2,3177,0,24,426,0,0,75,0,9,31
jpg,113,0,1514,5,0,2,252,1,41,0,4
doc,47,6,55,899,27,245,128,5,14,1,1
txt,0,47,0,3,1210,0,0,12,0,41,67
xls,3,1,10,70,2,932,18,1,2,0,5
ppt,116,0,165,28,0,31,507,0,39,2,12
xml,0,55,0,10,18,0,0,553,0,0,0
gif,62,0,46,2,0,1,57,0,452,0,4
ps,12,0,0,9,4,0,1,0,0,345,1
other,100,20,102,13,136,18,211,14,35,52,583
