actual\predicted,pdf,html,jpg,doc,txt,xls,ppt,xml,gif,ps,other
pdf,3885,8,323,3,1,7,7,0,25,13,0
html,0,3414,0,4,301,0,0,2,0,4,19
jpg,365,0,1553,8,0,2,1,0,2,0,1
doc,157,19,45,951,18,215,19,0,1,0,3
txt,0,129,0,0,1149,0,0,0,0,13,89
xls,16,3,3,76,0,942,4,0,0,0,0
ppt,412,0,137,40,0,33,261,0,15,0,2
xml,0,221,0,0,16,0,0,399,0,0,0
gif,311,0,5,7,0,4,0,0,296,0,1
ps,29,3,0,0,2,0,0,0,0,327,11
other,402,88,33,25,100,10,5,12,12,16,581
