actual\predicted,pdf,html,jpg,doc,txt,xls,ppt,xml,gif,ps,other,random_noise
pdf,3750,401,10,7,42,8,8,0,0,10,36,0
html,10,3587,0,0,111,0,0,0,0,2,34,0
jpg,1888,4,22,10,0,7,1,0,0,0,0,0
doc,213,250,1,653,9,289,13,0,0,0,0,0
txt,33,769,0,0,524,0,0,0,0,2,52,0
xls,22,70,0,152,0,798,2,0,0,0,0,0
ppt,589,13,3,134,0,126,34,0,0,0,1,0
xml,0,631,0,0,1,0,0,4,0,0,0,0
gif,606,0,0,4,0,13,0,0,1,0,0,0
ps,4,167,0,0,32,0,0,0,0,103,66,0
other,489,488,0,20,92,17,0,0,0,3,175,0
random_noise,646,0,0,0,0,0,0,0,0,0,0,0
