actual\predicted,pdf,html,jpg,doc,txt,xls,ppt,xml,gif,ps,other
pdf,2319,0,894,12,2,3,541,9,299,38,155
html,1,2926,0,59,370,0,0,321,0,4,63
jpg,84,0,1618,9,0,1,130,2,60,0,28
doc,32,10,62,905,12,233,123,5,20,1,25
txt,0,30,0,10,1183,0,0,23,0,18,116
xls,2,1,9,91,6,908,23,1,1,0,2
ppt,92,0,198,33,0,31,454,0,50,2,40
xml,0,35,0,11,18,0,0,572,0,0,0
gif,46,0,68,4,0,0,43,0,451,0,12
ps,20,0,0,0,4,0,0,0,0,346,2
other,68,25,138,27,112,14,153,16,36,29,666
