actual\predicted,pdf,html,jpg,doc,txt,xls,ppt,xml,gif,ps,other
pdf,3882,8,326,4,1,7,6,0,24,14,0
html,0,3414,0,3,301,0,0,4,0,3,19
jpg,361,0,1555,7,0,2,4,0,2,0,1
doc,156,20,45,956,18,212,18,0,1,0,2
txt,0,129,0,0,1139,0,0,0,0,14,98
xls,16,3,4,74,0,945,2,0,0,0,0
ppt,416,0,133,41,0,33,262,0,13,0,2
xml,0,219,0,0,15,0,0,402,0,0,0
gif,309,0,4,7,0,4,1,0,298,0,1
ps,29,3,0,0,2,0,0,0,0,327,11
other,405,86,34,23,103,10,5,12,11,16,579
